state,date,race_eth,case_rate
Utah,6/28/2020,Asian,396.8892011
Utah,6/28/2020,AIAN,977.822233
Utah,6/28/2020,Hispanic,1972.713146
Utah,7/1/2020,NHPI,1739.794278
Utah,7/1/2020,White,273.1823043
Utah,7/1/2020,Black,992.4553962
Utah,7/1/2020,Asian,436.6627457
Utah,7/1/2020,AIAN,1008.864209
Utah,7/1/2020,Hispanic,2109.277271
Utah,7/5/2020,NHPI,1898.505304
Utah,7/5/2020,White,307.6411551
Utah,7/5/2020,Black,1058.834958
Utah,7/5/2020,Asian,474.7437991
Utah,7/5/2020,AIAN,1057.151726
Utah,7/5/2020,Hispanic,2291.939903
Utah,7/8/2020,NHPI,2031.099325
Utah,7/8/2020,White,336.1552494
Utah,7/8/2020,Black,1115.500437
Utah,7/8/2020,Asian,507.7473788
Utah,7/8/2020,AIAN,1098.541027
Utah,7/8/2020,Hispanic,2419.847031
Utah,7/12/2020,NHPI,2292.269367
Utah,7/12/2020,White,378.7708594
Utah,7/12/2020,Black,1209.403232
Utah,7/12/2020,Asian,550.0596603
Utah,7/12/2020,AIAN,1183.044183
Utah,7/12/2020,Hispanic,2612.681635
Utah,7/15/2020,NHPI,2422.854388
Utah,7/15/2020,White,402.7226985
Utah,7/15/2020,Black,1254.735615
Utah,7/15/2020,Asian,578.8320118
Utah,7/15/2020,AIAN,1208.912496
Utah,7/15/2020,Hispanic,2709.423574
Utah,7/19/2020,NHPI,2645.853423
Utah,7/19/2020,White,452.2853787
Utah,7/19/2020,Black,1372.923615
Utah,7/19/2020,Asian,640.6079429
Utah,7/19/2020,AIAN,1283.068327
Utah,7/19/2020,Hispanic,2925.632069
Utah,7/22/2020,NHPI,2786.483446
Utah,7/22/2020,White,477.2395315
Utah,7/22/2020,Black,1434.446135
Utah,7/22/2020,Asian,676.1502594
Utah,7/22/2020,AIAN,1326.182182
Utah,7/22/2020,Hispanic,3028.650331
Utah,7/26/2020,NHPI,2993.410479
Utah,7/26/2020,White,513.150009
Utah,7/26/2020,Black,1523.491889
Utah,7/26/2020,Asian,700.6913827
Utah,7/26/2020,AIAN,1408.960784
Utah,7/26/2020,Hispanic,3192.051146
Utah,7/29/2020,NHPI,3119.977499
Utah,7/29/2020,White,535.615659
Utah,7/29/2020,Black,1557.491176
Utah,7/29/2020,Asian,722.6937691
Utah,7/29/2020,AIAN,1441.727313
Utah,7/29/2020,Hispanic,3280.785363
Utah,8/2/2020,NHPI,3318.868531
Utah,8/2/2020,White,565.1320669
Utah,8/2/2020,Black,1628.727779
Utah,8/2/2020,Asian,761.6210681
Utah,8/2/2020,AIAN,1527.955024
Utah,8/2/2020,Hispanic,3412.804564
Utah,8/5/2020,NHPI,3473.561556
Utah,8/5/2020,White,585.7313399
Utah,8/5/2020,Black,1667.584108
Utah,8/5/2020,Asian,782.7772089
Utah,8/5/2020,AIAN,1584.865312
Utah,8/5/2020,Hispanic,3493.747484
Utah,8/9/2020,NHPI,3708.614593
Utah,8/9/2020,White,616.2500613
Utah,8/9/2020,Black,1712.916491
Utah,8/9/2020,Asian,827.6282274
Utah,8/9/2020,AIAN,1646.949264
Utah,8/9/2020,Hispanic,3609.751241
Utah,8/12/2020,NHPI,3839.199614
Utah,8/12/2020,White,631.630391
Utah,8/12/2020,Black,1735.582683
Utah,8/12/2020,Asian,844.55314
Utah,8/12/2020,AIAN,1667.643914
Utah,8/12/2020,Hispanic,3680.08934
Utah,8/16/2020,NHPI,4052.153648
Utah,8/16/2020,White,660.1790478
Utah,8/16/2020,Black,1800.343231
Utah,8/16/2020,Asian,893.6353866
Utah,8/16/2020,AIAN,1691.787673
Utah,8/16/2020,Hispanic,3777.696979
Utah,8/19/2020,NHPI,4148.585664
Utah,8/19/2020,White,677.3566294
Utah,8/19/2020,Black,1824.628436
Utah,8/19/2020,Asian,919.0227555
Utah,8/19/2020,AIAN,1719.38054
Utah,8/19/2020,Hispanic,3832.019634
Utah,8/23/2020,NHPI,4259.080681
Utah,8/23/2020,White,707.7371007
Utah,8/23/2020,Black,1866.722792
Utah,8/23/2020,Asian,959.6425458
Utah,8/23/2020,AIAN,1748.697962
Utah,8/23/2020,Hispanic,3927.895874
Utah,8/26/2020,NHPI,4331.404693
Utah,8/26/2020,White,727.4377477
Utah,8/26/2020,Black,1895.865039
Utah,8/26/2020,Asian,987.5686517
Utah,8/26/2020,AIAN,1783.189046
Utah,8/26/2020,Hispanic,3989.360551
Utah,8/30/2020,NHPI,4482.079717
Utah,8/30/2020,White,758.3020946
Utah,8/30/2020,Black,1931.48334
Utah,8/30/2020,Asian,1025.649705
Utah,8/30/2020,AIAN,1809.057359
Utah,8/30/2020,Hispanic,4083.505391
Utah,9/2/2020,NHPI,4536.322726
Utah,9/2/2020,White,779.2124303
Utah,9/2/2020,Black,1959.006573
Utah,9/2/2020,Asian,1049.344583
Utah,9/2/2020,AIAN,1833.201118
Utah,9/2/2020,Hispanic,4136.096647
Utah,9/6/2020,NHPI,4628.736741
Utah,9/6/2020,White,817.9224735
Utah,9/6/2020,Black,1989.767833
Utah,9/6/2020,Asian,1072.193215
Utah,9/6/2020,AIAN,1872.865864
Utah,9/6/2020,Hispanic,4218.338116
Utah,9/9/2020,NHPI,4656.862745
Utah,9/9/2020,White,841.4941247
Utah,9/9/2020,Black,2017.291066
Utah,9/9/2020,Asian,1093.349356
Utah,9/9/2020,AIAN,1888.386852
Utah,9/9/2020,Hispanic,4266.168024
Utah,9/13/2020,NHPI,4749.27676
Utah,9/13/2020,White,887.7733638
Utah,9/13/2020,Black,2052.909368
Utah,9/13/2020,Asian,1134.815392
Utah,9/13/2020,AIAN,1941.848032
Utah,9/13/2020,Hispanic,4357.282915
Utah,9/16/2020,NHPI,4823.609772
Utah,9/16/2020,White,929.9050982
Utah,9/16/2020,Black,2088.527669
Utah,9/16/2020,Asian,1168.665217
Utah,9/16/2020,AIAN,2000.482875
Utah,9/16/2020,Hispanic,4433.031637
Utah,9/20/2020,NHPI,4990.356798
Utah,9/20/2020,White,1016.79532
Utah,9/20/2020,Black,2180.81145
Utah,9/20/2020,Asian,1245.673569
Utah,9/20/2020,AIAN,2083.261477
Utah,9/20/2020,Hispanic,4594.484627
Utah,9/23/2020,NHPI,5048.617808
Utah,9/23/2020,White,1066.599938
Utah,9/23/2020,Black,2235.857915
Utah,9/23/2020,Asian,1285.447114
Utah,9/23/2020,AIAN,2116.028007
Utah,9/23/2020,Hispanic,4689.711592
Utah,9/27/2020,NHPI,5297.733848
Utah,9/27/2020,White,1168.317489
Utah,9/27/2020,Black,2334.617751
Utah,9/27/2020,Asian,1358.224238
Utah,9/27/2020,AIAN,2221.225813
Utah,9/27/2020,Hispanic,4903.972263
Utah,9/30/2020,NHPI,5420.282867
Utah,9/30/2020,White,1224.585301
Utah,9/30/2020,Black,2384.807175
Utah,9/30/2020,Asian,1400.53652
Utah,9/30/2020,AIAN,2267.788777
Utah,9/30/2020,Hispanic,5018.244621
Utah,10/4/2020,NHPI,5647.299904
Utah,10/4/2020,White,1326.233727
Utah,10/4/2020,Black,2452.805751
Utah,10/4/2020,Asian,1486.853574
Utah,10/4/2020,AIAN,2341.944607
Utah,10/4/2020,Hispanic,5225.579694
Utah,10/7/2020,NHPI,5759.803922
Utah,10/7/2020,White,1391.038487
Utah,10/7/2020,Black,2515.947285
Utah,10/7/2020,Asian,1524.934628
Utah,10/7/2020,AIAN,2390.232125
Utah,10/7/2020,Hispanic,5345.262675
Utah,10/11/2020,NHPI,6077.225972
Utah,10/11/2020,White,1510.452057
Utah,10/11/2020,Black,2601.755011
Utah,10/11/2020,Asian,1602.789226
Utah,10/11/2020,AIAN,2490.256269
Utah,10/11/2020,Hispanic,5587.225736
Utah,10/14/2020,NHPI,6229.909997
Utah,10/14/2020,White,1581.339824
Utah,10/14/2020,Black,2651.944435
Utah,10/14/2020,Asian,1642.56277
Utah,10/14/2020,AIAN,2548.891112
Utah,10/14/2020,Hispanic,5723.573435
Utah,10/18/2020,NHPI,6460.945034
Utah,10/18/2020,White,1698.126641
Utah,10/18/2020,Black,2758.799339
Utah,10/18/2020,Asian,1744.112246
Utah,10/18/2020,AIAN,2617.87328
Utah,10/18/2020,Hispanic,5986.746138
Utah,10/21/2020,NHPI,6637.737062
Utah,10/21/2020,White,1774.786352
Utah,10/21/2020,Black,2818.702846
Utah,10/21/2020,Asian,1790.655756
Utah,10/21/2020,AIAN,2655.813472
Utah,10/21/2020,Hispanic,6184.558515
Utah,10/25/2020,NHPI,7033.510125
Utah,10/25/2020,White,1923.059642
Utah,10/25/2020,Black,2949.842956
Utah,10/25/2020,Asian,1899.821442
Utah,10/25/2020,AIAN,2781.705929
Utah,10/25/2020,Hispanic,6502.919572
Utah,10/28/2020,NHPI,7288.653166
Utah,10/28/2020,White,2008.325424
Utah,10/28/2020,Black,3021.079558
Utah,10/28/2020,Asian,1974.291058
Utah,10/28/2020,AIAN,2838.616218
Utah,10/28/2020,Hispanic,6683.417955
Utah,11/1/2020,NHPI,7770.813243
Utah,11/1/2020,White,2168.937541
Utah,11/1/2020,Black,3202.409092
Utah,11/1/2020,Asian,2124.92278
Utah,11/1/2020,AIAN,3012.796192
Utah,11/1/2020,Hispanic,7033.160626
Utah,11/4/2020,NHPI,8106.316297
Utah,11/4/2020,White,2273.109032
Utah,11/4/2020,Black,3291.454846
Utah,11/4/2020,Asian,2213.778571
Utah,11/4/2020,AIAN,3133.514986
Utah,11/4/2020,Hispanic,7275.772962
Utah,11/8/2020,NHPI,8811.47541
Utah,11/8/2020,White,2506.371604
Utah,11/8/2020,Black,3477.641421
Utah,11/8/2020,Asian,2393.182645
Utah,11/8/2020,AIAN,3343.910599
Utah,11/8/2020,Hispanic,7793.89422
Utah,11/11/2020,NHPI,9155.014465
Utah,11/11/2020,White,2652.329204
Utah,11/11/2020,Black,3595.829421
Utah,11/11/2020,Asian,2520.965736
Utah,11/11/2020,AIAN,3531.887007
Utah,11/11/2020,Hispanic,8134.763469
Utah,11/15/2020,NHPI,9789.858566
Utah,11/15/2020,White,2967.850618
Utah,11/15/2020,Black,3903.442023
Utah,11/15/2020,Asian,2723.218441
Utah,11/15/2020,AIAN,3831.959438
Utah,11/15/2020,Hispanic,8716.080804
Utah,11/18/2020,NHPI,10123.35262
Utah,11/18/2020,White,3150.962947
Utah,11/18/2020,Black,4052.391283
Utah,11/18/2020,Asian,2851.847777
Utah,11/18/2020,AIAN,4037.181389
Utah,11/18/2020,Hispanic,9073.398347
Utah,11/22/2020,NHPI,10784.31373
Utah,11/22/2020,White,3483.938443
Utah,11/22/2020,Black,4326.004598
Utah,11/22/2020,Asian,3107.413958
Utah,11/22/2020,AIAN,4413.134205
Utah,11/22/2020,Hispanic,9758.166794
Utah,11/25/2020,NHPI,11075.61877
Utah,11/25/2020,White,3631.347669
Utah,11/25/2020,Black,4466.85879
Utah,11/25/2020,Asian,3233.504557
Utah,11/25/2020,AIAN,4568.344083
Utah,11/25/2020,Hispanic,10075.01288
Utah,11/29/2020,NHPI,11483.44584
Utah,11/29/2020,White,3848.193036
Utah,11/29/2020,Black,4641.712269
Utah,11/29/2020,Asian,3381.597543
Utah,11/29/2020,AIAN,4811.506226
Utah,11/29/2020,Hispanic,10528.20666
Utah,12/2/2020,NHPI,11768.72388
Utah,12/2/2020,White,4042.607315
Utah,12/2/2020,Black,4808.47068
Utah,12/2/2020,Asian,3490.763229
Utah,12/2/2020,AIAN,4977.063429
Utah,12/2/2020,Hispanic,10865.61311
Utah,12/6/2020,NHPI,12345.30698
Utah,12/6/2020,White,4338.462644
Utah,12/6/2020,Black,5022.180488
Utah,12/6/2020,Asian,3671.859794
Utah,12/6/2020,AIAN,5332.321595
Utah,12/6/2020,Hispanic,11443.68407
Utah,12/9/2020,NHPI,12650.67502
Utah,12/9/2020,White,4498.66001
Utah,12/9/2020,Black,5151.701583
Utah,12/9/2020,Asian,3773.40927
Utah,12/9/2020,AIAN,5496.154244
Utah,12/9/2020,Hispanic,11752.30601
Utah,12/13/2020,NHPI,13136.8531
Utah,12/13/2020,White,4760.402114
Utah,12/13/2020,Black,5381.601528
Utah,12/13/2020,Asian,3926.579729
